# Created by Octave 4.2.2, Sat Jun 01 00:17:27 2019 CEST <f_spieckermann@MUL-12-linux>
# name: diffr_vector_matrix
# type: matrix
# rows: 9
# columns: 3
 1 1 0
 0 4 0
 1 3 0
 1 1 1
 1 3 -1
 0 4 1
 0 6 0
 1 3 1
 0 2 1


# name: twotheta
# type: matrix
# rows: 9
# columns: 1
 14.1441383510464
 16.92214242717873
 18.55211661634048
 21.31021025572477
 21.82947141224131
 21.90519960669771
 25.50101884399364
 24.49781777269405
 16.20352386018419


# name: hkl_matrix
# type: matrix
# rows: 8
# columns: 3
 0 1 0
 1 0 0
 1 1 0
 0 1 0
 0 1 0
 1 0 0
 1 1 0
 0 1 0


# name: uvw_matrix
# type: matrix
# rows: 8
# columns: 3
 0 0 1
 0 0 1
 0 0 1
 1 0 0
 0 0 1
 0 0 1
 0 0 1
 1 0 0


# name: disltype_matrix
# type: matrix
# rows: 8
# columns: 1
 0
 0
 0
 0
 90
 90
 90
 90


# name: CF
# type: matrix
# rows: 9
# columns: 8
 0.01042042742220964 0.01042008159596829 0.0104201117451956 0.1020148708977607 0.002734448801723453 0.1225816884889176 0.1435470027963114 0.5264695265963342
 0.005525503702835132 0.005525376923911404 0.005525331504416212 0.0005538895019371099 0.1300176812334434 9.855748836426566e-68 0.002931343521709403 0.09972079563154806
 0.003119319582168013 0.003119397502033171 0.003119403106436784 0.2556515614028271 0.0337632768326311 0.04171957825590699 0.099769268155855 0.3210535803466557
 0.2236486800522777 0.2236434574871396 0.22364318273734 0.238460241434767 0.08550003647995508 0.5201837674241372 0.5665584710442703 0.09842646281221776
 0.2352805050601566 0.235278927868435 0.2352767463533896 0.2286836769680646 0.2911190485909518 0.3995586463494038 0.5535073305069375 0.1605387018915805
 0.2221344892085245 0.2221395984018379 0.2221379424185692 0.0003537946803648025 0.5662936576252972 0.04075779930073627 0.1123813091439879 0.03718222618713331
 0.005525503702835132 0.005525376923911404 0.005525331504416219 0.0005538895019371099 0.1300176812334434 9.855748836426566e-68 0.002931343521709403 0.09972079563154806
 0.2110916847051646 0.2110906484244706 0.2110890976017709 0.2148253628405648 0.240397248379595 0.3000725906427963 0.4837534256584045 0.1135765677212858
 0.1932549762070527 0.1932588923372145 0.1932572807035044 0.0001811326596254086 0.5523939853153859 0.1346361756695833 0.1964689965916885 0.008491298313605854


